full_name,name,source_corpus,word_embedding_type,preprocess_text,input_size,hidden_size,output_size,dropout,batch_size,learning_rate,epochs,weight_decay,accuracy,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
MLP-fasttext_cbow-model_train_base_cbow.bin-run-1,MLP-fasttext_cbow-model_train_base_cbow.bin,tripadvisor,fasttext_cbow,False,100,32,4,0.1,32,0.005,50,0.0001,0.7243460764587525,0.5833333333333334,0.2926829268292683,0.3897911832946636,287,0.6811279826464208,0.9119070667957405,0.7798013245033112,1033,0.8138461538461539,0.7306629834254144,0.7700145560407569,724,0.7954545454545454,0.5555555555555556,0.6542056074766356,441,0.7184405038201134,0.6227021331514947,0.6484531678288419,2485,0.7287895141531144,0.7243460764587525,0.7096177260717075,2485
MLP-fasttext_cbow-model_train_clean_cbow.bin-run-1,MLP-fasttext_cbow-model_train_clean_cbow.bin,tripadvisor,fasttext_cbow,True,100,32,4,0.1,32,0.005,50,0.0001,0.682897384305835,0.5595238095238095,0.16376306620209058,0.25336927223719674,287,0.6800320769847634,0.8209099709583737,0.7438596491228069,1033,0.6904761904761905,0.761049723756906,0.724047306176084,724,0.7050561797752809,0.5691609977324263,0.6298619824341279,441,0.6587720641900111,0.5787209396624491,0.5877845524925539,2485,0.673597990359861,0.682897384305835,0.6612086046683582,2485
MLP-fasttext_cbow-model_wiki_base_cbow.bin-run-1,MLP-fasttext_cbow-model_wiki_base_cbow.bin,wikipedia,fasttext_cbow,False,100,32,4,0.1,32,0.005,50,0.0001,0.6482897384305835,0.5112781954887218,0.23693379790940766,0.32380952380952377,287,0.6316579144786196,0.8151016456921588,0.7117497886728656,1033,0.6984375,0.6174033149171271,0.655425219941349,724,0.6701846965699209,0.5759637188208617,0.6195121951219513,441,0.6278895766343155,0.5613506193348888,0.5776241818864224,2485,0.6440481565187173,0.6482897384305835,0.6341664395648775,2485
MLP-fasttext_cbow-model_wiki_clean_cbow.bin-run-1,MLP-fasttext_cbow-model_wiki_clean_cbow.bin,wikipedia,fasttext_cbow,True,100,32,4,0.1,32,0.005,50,0.0001,0.6112676056338028,0.3333333333333333,0.010452961672473868,0.02027027027027027,287,0.6392190152801358,0.7289448209099709,0.6811397557666214,1033,0.5899632802937577,0.6657458563535912,0.6255678131083712,724,0.5841995841995842,0.63718820861678,0.6095444685466378,441,0.5366788032767027,0.510582961888204,0.4841305769229752,2485,0.5797767971894342,0.6112676056338028,0.5759175624120787,2485
MLP-fasttext_skipgram-model_train_base_skip.bin-run-1,MLP-fasttext_skipgram-model_train_base_skip.bin,tripadvisor,fasttext_skipgram,False,100,32,4,0.1,32,0.005,50,0.0001,0.7472837022132797,0.5283018867924528,0.3902439024390244,0.44889779559118237,287,0.7472894078398665,0.8673765730880929,0.8028673835125448,1033,0.7837116154873164,0.8107734806629834,0.7970128988458925,724,0.8061538461538461,0.5941043083900227,0.6840731070496083,441,0.7163641890683705,0.6656245661450308,0.683212796249807,2485,0.7430557970119434,0.7472837022132797,0.7391988947591274,2485
MLP-fasttext_skipgram-model_train_clean_skip.bin-run-1,MLP-fasttext_skipgram-model_train_clean_skip.bin,tripadvisor,fasttext_skipgram,True,100,32,4,0.1,32,0.005,50,0.0001,0.6921529175050302,0.5714285714285714,0.1672473867595819,0.2587601078167116,287,0.6813186813186813,0.8402710551790901,0.752492414390984,1033,0.7155727155727156,0.7679558011049724,0.7408394403730848,724,0.7085714285714285,0.562358276643991,0.6270543615676358,441,0.6692228492228492,0.5844581299219088,0.594786581037104,2485,0.6834433979383677,0.6921529175050302,0.6698139007206131,2485
MLP-fasttext_skipgram-model_wiki_base_skip.bin-run-1,MLP-fasttext_skipgram-model_wiki_base_skip.bin,wikipedia,fasttext_skipgram,False,100,32,4,0.1,32,0.005,50,0.0001,0.6603621730382294,0.4375,0.2682926829268293,0.3326133909287257,287,0.6478034251675354,0.8422071636011617,0.7323232323232324,1033,0.6848306332842415,0.6422651933701657,0.6628652886671418,724,0.7979094076655052,0.5192743764172335,0.6291208791208791,441,0.6420108665293206,0.5680098540788475,0.5892306977599948,2485,0.660941193350641,0.6603621730382294,0.6476083375749544,2485
MLP-fasttext_skipgram-model_wiki_clean_skip.bin-run-1,MLP-fasttext_skipgram-model_wiki_clean_skip.bin,wikipedia,fasttext_skipgram,True,100,32,4,0.1,32,0.005,50,0.0001,0.6164989939637827,0.4375,0.024390243902439025,0.04620462046204621,287,0.6413398692810458,0.7599225556631172,0.6956136464333186,1033,0.5648050579557429,0.7403314917127072,0.6407650926479379,724,0.6891891891891891,0.46258503401360546,0.55359565807327,441,0.5832085291064945,0.4968073313229672,0.4840447544041432,2485,0.6039910983338876,0.6164989939637827,0.57942826363205,2485
MLP-word2vec_cbow-word2vec_train_base_cbow.model-run-1,MLP-word2vec_cbow-word2vec_train_base_cbow.model,tripadvisor,word2vec_cbow,False,100,32,4,0.1,32,0.005,50,0.0001,0.710261569416499,0.6054421768707483,0.31010452961672474,0.41013824884792627,287,0.671875,0.8741529525653436,0.7597812368531763,1033,0.8109375,0.7168508287292817,0.7609970674486803,724,0.7175141242937854,0.5759637188208617,0.6389937106918239,441,0.7014422002911335,0.619268007433053,0.6424775659604017,2485,0.7128174078774503,0.710261569416499,0.6983186311213783,2485
MLP-word2vec_cbow-word2vec_train_clean_cbow.model-run-1,MLP-word2vec_cbow-word2vec_train_clean_cbow.model,tripadvisor,word2vec_cbow,True,100,32,4,0.1,32,0.005,50,0.0001,0.6688128772635815,0.45977011494252873,0.13937282229965156,0.21390374331550802,287,0.6541411042944786,0.8257502420135527,0.7299957210098417,1033,0.7420749279538905,0.7113259668508287,0.7263751763046544,724,0.635,0.5759637188208617,0.6040428061831153,441,0.6227465367977245,0.5631031874962237,0.5685793617032799,2485,0.6539151032447964,0.6688128772635815,0.646983685837441,2485
